parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.65, 752.6400000000002, 0.0, 1147.9, 0.0, 551.8845082080128, 0.0, 257.415
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.43, 1214.0900000000004, 0.0, 1996.07, 0.0, 937.8046821700136, 0.0, 565.3666666666667
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.55, 1099.91, 0.0, 1723.65, 0.0, 826.7804193980409, 0.0, 425.7141666666667
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.09000000000000008, StatRejectNull, 1.62, 876.7000000000003, 0.0, 1380.9, 0.0, 627.6342804531952, 0.0, 326.225
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.5, 1893.4800000000002, 0.0, 3042.47, 0.0, 1484.3618391753405, 0.0, 788.3466666666667
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.53, 3044.7799999999984, 0.0, 4464.2, 0.0, 1902.2056018212122, 0.0, 966.8716666666667
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.54, 4490.309999999997, 0.0, 7095.87, 0.0, 3139.014229642803, 0.0, 1777.475
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.48, 6552.590000000001, 0.0, 11576.43, 0.0, 4795.727684293594, 0.0, 3585.8016666666667
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.45, 11986.41, 0.0, 21182.16, 0.0, 7676.505766421334, 0.0, 6583.245
"nruns=100.0 fuzzMvrs=0.0 mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.014999999999999902, StatRejectNull, 1.56, 20218.019999999993, 0.0, 35226.84, 0.0, 8963.146441936558, 0.0, 9473.035
